,ONTOLOGY,ID,Description,pvalue,p.adjust,qvalue,geneID,Count
GO:0048871,BP,GO:0048871,multicellular organismal homeostasis,1.03E-05,1.03E-05,0.006987995,ABCA4/ABCC8/ADGRV1/FLG/MUC4/MUC6/PLEC/RP1L1/USH2A/VPS13B/ZNF516,11
GO:0001894,BP,GO:0001894,tissue homeostasis,2.27E-05,2.27E-05,0.006987995,ABCA4/ABCC8/ADGRV1/MUC4/MUC6/RP1L1/USH2A/VPS13B,8
GO:0043266,BP,GO:0043266,regulation of potassium ion transport,2.65E-05,2.65E-05,0.006987995,ABCC8/AKAP9/ANK3/NOS1/WNK1,5
GO:1904064,BP,GO:1904064,positive regulation of cation transmembrane transport,2.93E-05,2.93E-05,0.006987995,ABCC8/AKAP9/ANK3/NOS1/RELN/WNK1,6
GO:0032412,BP,GO:0032412,regulation of ion transmembrane transporter activity,3.15E-05,3.15E-05,0.006987995,ABCC8/AHNAK/AKAP9/ANK3/NOS1/RELN/WNK1,7
GO:0022898,BP,GO:0022898,regulation of transmembrane transporter activity,4.05E-05,4.05E-05,0.006987995,ABCC8/AHNAK/AKAP9/ANK3/NOS1/RELN/WNK1,7
GO:0034767,BP,GO:0034767,positive regulation of ion transmembrane transport,4.08E-05,4.08E-05,0.006987995,ABCC8/AKAP9/ANK3/NOS1/RELN/WNK1,6
GO:0032409,BP,GO:0032409,regulation of transporter activity,6.50E-05,6.50E-05,0.009127247,ABCC8/AHNAK/AKAP9/ANK3/NOS1/RELN/WNK1,7
GO:0060249,BP,GO:0060249,anatomical structure homeostasis,6.85E-05,6.85E-05,0.009127247,ABCA4/ABCC8/ADGRV1/MUC4/MUC6/RP1L1/USH2A/VPS13B,8
GO:0007155,BP,GO:0007155,cell adhesion,0.000101833,0.000101833,0.01220919,ADGRV1/ANK3/ARID1B/CELSR1/COL14A1/COL6A6/EFS/LAMA3/MUC16/MUC4/OBSCN/PIEZO1/PKD1/PTPN23/RELN/SDK1/SDK2/USH2A/WNK1,19
GO:0032414,BP,GO:0032414,positive regulation of ion transmembrane transporter activity,0.000116241,0.000116241,0.012669756,ABCC8/AKAP9/ANK3/RELN/WNK1,5
GO:0034764,BP,GO:0034764,positive regulation of transmembrane transport,0.000127656,0.000127656,0.012754393,ABCC8/AKAP9/ANK3/NOS1/RELN/WNK1,6
GO:0050982,BP,GO:0050982,detection of mechanical stimulus,0.000191817,0.000191817,0.01769062,ADGRV1/PIEZO1/PKD1/TTN,4
GO:0032411,BP,GO:0032411,positive regulation of transporter activity,0.000225262,0.000225262,0.019291265,ABCC8/AKAP9/ANK3/RELN/WNK1,5
GO:1901379,BP,GO:1901379,regulation of potassium ion transmembrane transport,0.000243292,0.000243292,0.019446308,ABCC8/AKAP9/ANK3/WNK1,4
GO:1904062,BP,GO:1904062,regulation of cation transmembrane transport,0.000284666,0.000284666,0.021331198,ABCC8/AHNAK/AKAP9/ANK3/NOS1/RELN/WNK1,7
GO:0009581,BP,GO:0009581,detection of external stimulus,0.000302709,0.000302709,0.021348978,ABCA4/ADGRV1/PIEZO1/PKD1/TTN,5
GO:0098609,BP,GO:0098609,cell-cell adhesion,0.000340978,0.000340978,0.021977152,ADGRV1/ANK3/ARID1B/CELSR1/COL14A1/LAMA3/OBSCN/PIEZO1/PKD1/PTPN23/SDK1/SDK2/WNK1,13
GO:0009582,BP,GO:0009582,detection of abiotic stimulus,0.000348277,0.000348277,0.021977152,ABCA4/ADGRV1/PIEZO1/PKD1/TTN,5
GO:0033555,BP,GO:0033555,multicellular organismal response to stress,0.000374889,0.000374889,0.022473601,ASIC4/BRINP1/NOS1/RELN,4
GO:0045494,BP,GO:0045494,photoreceptor cell maintenance,0.000550851,0.000550851,0.028060534,ABCA4/ADGRV1/RP1L1/USH2A,4
GO:0043270,BP,GO:0043270,positive regulation of ion transport,0.000579501,0.000579501,0.028060534,ABCC8/AKAP9/ANK3/NOS1/RELN/WNK1,6
GO:0034765,BP,GO:0034765,regulation of ion transmembrane transport,0.000611106,0.000611106,0.028060534,ABCC8/AHNAK/AKAP9/ANK3/CACNA1B/NOS1/RELN/WNK1,8
GO:0043268,BP,GO:0043268,positive regulation of potassium ion transport,0.00061235,0.00061235,0.028060534,ABCC8/AKAP9/WNK1,3
GO:1901381,BP,GO:1901381,positive regulation of potassium ion transmembrane transport,0.00061235,0.00061235,0.028060534,ABCC8/AKAP9/WNK1,3
GO:0030239,BP,GO:0030239,myofibril assembly,0.000657836,0.000657836,0.028060534,NEB/OBSCN/PLEC/TTN,4
GO:0055002,BP,GO:0055002,striated muscle cell development,0.000657836,0.000657836,0.028060534,NEB/OBSCN/PLEC/TTN,4
GO:2001257,BP,GO:2001257,regulation of cation channel activity,0.000658485,0.000658485,0.028060534,ABCC8/AHNAK/ANK3/NOS1/RELN,5
GO:0042592,BP,GO:0042592,homeostatic process,0.000678725,0.000678725,0.028060534,ABCA4/ABCC8/ADGRV1/ANK3/DMXL2/FLG/MUC17/MUC4/MUC6/NOS1/PLEC/RP1L1/USH2A/VPS13B/WNK1/ZNF516,16
GO:0098655,BP,GO:0098655,cation transmembrane transport,0.000742194,0.000742194,0.029661702,ABCC8/AHNAK/AKAP9/ANK3/ASIC4/CACNA1B/NOS1/PIEZO1/PKD1/RELN/WNK1,11
GO:0010927,BP,GO:0010927,cellular component assembly involved in morphogenesis,0.001028012,0.001028012,0.039106303,NEB/OBSCN/PLEC/TTN/VPS13B,5
GO:0050877,BP,GO:0050877,nervous system process,0.00104375,0.00104375,0.039106303,ABCA4/ABCA7/ABCC8/ADGRV1/AKAP9/ANK3/BRINP1/DNAH11/MYO9A/OR5H1/PLEC/RELN/RP1L1/TAS2R30/USH2A,15
GO:0034762,BP,GO:0034762,regulation of transmembrane transport,0.00136874,0.00136874,0.04972871,ABCC8/AHNAK/AKAP9/ANK3/CACNA1B/NOS1/RELN/WNK1,8
GO:0001895,BP,GO:0001895,retina homeostasis,0.001421455,0.001421455,0.050124976,ABCA4/ADGRV1/RP1L1/USH2A,4
GO:0007010,BP,GO:0007010,cytoskeleton organization,0.001755301,0.001755301,0.058744603,AKAP9/ANK3/ARHGAP4/CELSR1/DNAH17/DNAH5/EFS/MTCL1/NEB/OBSCN/PKD1/PLEC/RP1L1/SKA3/TCHH/TTN,16
GO:1902305,BP,GO:1902305,regulation of sodium ion transmembrane transport,0.001763885,0.001763885,0.058744603,ANK3/NOS1/WNK1,3
GO:0006813,BP,GO:0006813,potassium ion transport,0.001845293,0.001845293,0.059794853,ABCC8/AKAP9/ANK3/NOS1/WNK1,5
GO:0051050,BP,GO:0051050,positive regulation of transport,0.001999884,0.001999884,0.062133886,ABCA7/ABCC8/AKAP9/ANK3/MTCL1/NOS1/PTPN23/RELN/TTN/WNK1,10
GO:0055085,BP,GO:0055085,transmembrane transport,0.002071601,0.002071601,0.062133886,ABCA4/ABCA7/ABCB5/ABCC8/AHNAK/AKAP9/ANK3/ASIC4/CACNA1B/NOS1/PIEZO1/PKD1/RELN/WNK1,14
GO:0042692,BP,GO:0042692,muscle cell differentiation,0.002136378,0.002136378,0.062133886,NEB/NOS1/OBSCN/PIEZO1/PLEC/SYNE1/TTN,7
GO:0045214,BP,GO:0045214,sarcomere organization,0.002176595,0.002176595,0.062133886,OBSCN/PLEC/TTN,3
GO:1901016,BP,GO:1901016,regulation of potassium ion transmembrane transporter activity,0.002176595,0.002176595,0.062133886,ABCC8/AKAP9/ANK3,3
GO:0001539,BP,GO:0001539,cilium or flagellum-dependent cell motility,0.002397437,0.002397437,0.065327295,DNAH11/DNAH14/DNAH17/DNAH3/DNAH5,5
GO:0060285,BP,GO:0060285,cilium-dependent cell motility,0.002397437,0.002397437,0.065327295,DNAH11/DNAH14/DNAH17/DNAH3/DNAH5,5
GO:0031279,BP,GO:0031279,regulation of cyclase activity,0.002644573,0.002644573,0.07046009,ADGRV1/AKAP9/NOS1,3
GO:0051146,BP,GO:0051146,striated muscle cell differentiation,0.00306157,0.00306157,0.079796976,NEB/NOS1/OBSCN/PIEZO1/PLEC/TTN,6
GO:0051339,BP,GO:0051339,regulation of lyase activity,0.003170164,0.003170164,0.080869353,ADGRV1/AKAP9/NOS1,3
GO:0009628,BP,GO:0009628,response to abiotic stimulus,0.003481967,0.003481967,0.086972817,ABCA4/ABCA7/ABCC8/ADGRV1/AKAP9/NOS1/PIEZO1/PKD1/PLEC/TTN/ZNF516,11
GO:0009612,BP,GO:0009612,response to mechanical stimulus,0.003571841,0.003571841,0.087396934,ADGRV1/PIEZO1/PKD1/PLEC/TTN,5
GO:0034220,BP,GO:0034220,ion transmembrane transport,0.003711412,0.003711412,0.088227516,ABCC8/AHNAK/AKAP9/ANK3/ASIC4/CACNA1B/NOS1/PIEZO1/PKD1/RELN/WNK1,11
GO:0002028,BP,GO:0002028,regulation of sodium ion transport,0.003755538,0.003755538,0.088227516,ANK3/NOS1/WNK1,3
GO:0007601,BP,GO:0007601,visual perception,0.00384891,0.00384891,0.088227516,ABCA4/ADGRV1/MYO9A/RP1L1/USH2A,5
