Description,geneID,Count
multicellular organismal homeostasis,ABCA4/ABCC8/ADGRV1/FLG/MUC4/MUC6/PLEC/RP1L1/USH2A/VPS13B/ZNF516,11
tissue homeostasis,ABCA4/ABCC8/ADGRV1/MUC4/MUC6/RP1L1/USH2A/VPS13B,8
regulation of potassium ion transport,ABCC8/AKAP9/ANK3/NOS1/WNK1,5
positive regulation of cation transmembrane transport,ABCC8/AKAP9/ANK3/NOS1/RELN/WNK1,6
regulation of ion transmembrane transporter activity,ABCC8/AHNAK/AKAP9/ANK3/NOS1/RELN/WNK1,7
regulation of transmembrane transporter activity,ABCC8/AHNAK/AKAP9/ANK3/NOS1/RELN/WNK1,7
positive regulation of ion transmembrane transport,ABCC8/AKAP9/ANK3/NOS1/RELN/WNK1,6
regulation of transporter activity,ABCC8/AHNAK/AKAP9/ANK3/NOS1/RELN/WNK1,7
anatomical structure homeostasis,ABCA4/ABCC8/ADGRV1/MUC4/MUC6/RP1L1/USH2A/VPS13B,8
cell adhesion,ADGRV1/ANK3/ARID1B/CELSR1/COL14A1/COL6A6/EFS/LAMA3/MUC16/MUC4/OBSCN/PIEZO1/PKD1/PTPN23/RELN/SDK1/SDK2/USH2A/WNK1,19
positive regulation of ion transmembrane transporter activity,ABCC8/AKAP9/ANK3/RELN/WNK1,5
positive regulation of transmembrane transport,ABCC8/AKAP9/ANK3/NOS1/RELN/WNK1,6
detection of mechanical stimulus,ADGRV1/PIEZO1/PKD1/TTN,4
positive regulation of transporter activity,ABCC8/AKAP9/ANK3/RELN/WNK1,5
regulation of potassium ion transmembrane transport,ABCC8/AKAP9/ANK3/WNK1,4
regulation of cation transmembrane transport,ABCC8/AHNAK/AKAP9/ANK3/NOS1/RELN/WNK1,7
detection of external stimulus,ABCA4/ADGRV1/PIEZO1/PKD1/TTN,5
cell-cell adhesion,ADGRV1/ANK3/ARID1B/CELSR1/COL14A1/LAMA3/OBSCN/PIEZO1/PKD1/PTPN23/SDK1/SDK2/WNK1,13
detection of abiotic stimulus,ABCA4/ADGRV1/PIEZO1/PKD1/TTN,5
multicellular organismal response to stress,ASIC4/BRINP1/NOS1/RELN,4
photoreceptor cell maintenance,ABCA4/ADGRV1/RP1L1/USH2A,4
positive regulation of ion transport,ABCC8/AKAP9/ANK3/NOS1/RELN/WNK1,6
regulation of ion transmembrane transport,ABCC8/AHNAK/AKAP9/ANK3/CACNA1B/NOS1/RELN/WNK1,8
positive regulation of potassium ion transport,ABCC8/AKAP9/WNK1,3
positive regulation of potassium ion transmembrane transport,ABCC8/AKAP9/WNK1,3
myofibril assembly,NEB/OBSCN/PLEC/TTN,4
striated muscle cell development,NEB/OBSCN/PLEC/TTN,4
regulation of cation channel activity,ABCC8/AHNAK/ANK3/NOS1/RELN,5
homeostatic process,ABCA4/ABCC8/ADGRV1/ANK3/DMXL2/FLG/MUC17/MUC4/MUC6/NOS1/PLEC/RP1L1/USH2A/VPS13B/WNK1/ZNF516,16
cation transmembrane transport,ABCC8/AHNAK/AKAP9/ANK3/ASIC4/CACNA1B/NOS1/PIEZO1/PKD1/RELN/WNK1,11
cellular component assembly involved in morphogenesis,NEB/OBSCN/PLEC/TTN/VPS13B,5
nervous system process,ABCA4/ABCA7/ABCC8/ADGRV1/AKAP9/ANK3/BRINP1/DNAH11/MYO9A/OR5H1/PLEC/RELN/RP1L1/TAS2R30/USH2A,15
regulation of transmembrane transport,ABCC8/AHNAK/AKAP9/ANK3/CACNA1B/NOS1/RELN/WNK1,8
retina homeostasis,ABCA4/ADGRV1/RP1L1/USH2A,4
cytoskeleton organization,AKAP9/ANK3/ARHGAP4/CELSR1/DNAH17/DNAH5/EFS/MTCL1/NEB/OBSCN/PKD1/PLEC/RP1L1/SKA3/TCHH/TTN,16
regulation of sodium ion transmembrane transport,ANK3/NOS1/WNK1,3
potassium ion transport,ABCC8/AKAP9/ANK3/NOS1/WNK1,5
positive regulation of transport,ABCA7/ABCC8/AKAP9/ANK3/MTCL1/NOS1/PTPN23/RELN/TTN/WNK1,10
