"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"GNLY",0,1.50161102032586,0.977,0.81,0,"ncpf","GNLY"
"HSPB1",5.24269523184818e-222,1.85718598610229,0.963,0.829,8.37048720716881e-218,"ncpf","HSPB1"
"HLA-DRB1",2.22698317689013e-127,0.915196429791578,0.986,0.971,3.55560134022278e-123,"ncpf","HLA-DRB1"
"PAEP",1.12492903384532e-98,0.84039183237071,0.612,0.313,1.79606169543744e-94,"ncpf","PAEP"
"RPS3A",1.30394398762732e-98,0.55095191780643,0.973,0.941,2.08187697064579e-94,"ncpf","RPS3A"
"RPS27",2.4208858399222e-94,0.420617533989952,0.997,0.994,3.86518633201978e-90,"ncpf","RPS27"
"RPS29",1.27294898013011e-71,0.363564238705667,0.989,0.988,2.03239034167574e-67,"ncpf","RPS29"
"HSPA1B",3.72027171891221e-68,0.760922926105571,0.935,0.89,5.93978582641523e-64,"ncpf","HSPA1B"
"ZFAND2A",1.01426989069323e-66,1.26315607538885,0.636,0.413,1.61938330748081e-62,"ncpf","ZFAND2A"
"RPL36A",1.78389360456517e-64,0.487589086883336,0.937,0.901,2.84816452904875e-60,"ncpf","RPL36A"
"RPL37A",8.54987024611608e-62,0.337907158190722,0.984,0.975,1.36507228349489e-57,"ncpf","RPL37A"
"HSP90AA1",1.13494529630581e-57,0.68071968580376,0.983,0.974,1.81205366008185e-53,"ncpf","HSP90AA1"
"SERPINH1",2.07449397325087e-56,0.901595510847329,0.31,0.125,3.31213707769234e-52,"ncpf","SERPINH1"
"DNAJB1",1.3746036314461e-55,0.612693854555784,0.938,0.883,2.19469215796685e-51,"ncpf","DNAJB1"
"HSPA6",1.15726764807123e-50,1.24450196691975,0.604,0.423,1.84769352691052e-46,"ncpf","HSPA6"
"ID3",2.63360562448247e-50,1.09868697665814,0.314,0.134,4.20481474004872e-46,"ncpf","ID3"
"RPL37",5.34530855257269e-50,0.327300825120521,0.986,0.979,8.53431963503755e-46,"ncpf","RPL37"
"DDIT4",3.54948748065988e-49,0.985154199520816,0.498,0.312,5.66711171162157e-45,"ncpf","DDIT4"
"GZMA",2.34974577513825e-48,0.550760949670949,0.327,0.139,3.75160410458573e-44,"ncpf","GZMA"
"RPS6",3.77943964945741e-48,0.37120794940559,0.982,0.961,6.0342533443237e-44,"ncpf","RPS6"
"RPL13",3.95605700178968e-47,0.316192724754088,0.991,0.986,6.3162406090574e-43,"ncpf","RPL13"
"BAG3",3.42322743368683e-46,0.965384727650657,0.581,0.405,5.4655249206244e-42,"ncpf","BAG3"
"RPL34",5.42636441031296e-44,0.310903271761058,0.986,0.984,8.66373341750567e-40,"ncpf","RPL34"
"FKBP4",5.6271504087596e-44,0.70674653899097,0.405,0.222,8.98430834262558e-40,"ncpf","FKBP4"
"RPS15A",2.48392265799285e-40,0.297473810139135,0.988,0.974,3.96583091575139e-36,"ncpf","RPS15A"
"RPL10",1.82057336784562e-39,0.260899591764776,0.996,0.99,2.90672743910231e-35,"ncpf","RPL10"
"RPL27A",6.69833154251036e-39,0.267601228088255,0.988,0.978,1.0694556140772e-34,"ncpf","RPL27A"
"IFI30",2.29786254178739e-38,0.710184942030884,0.529,0.369,3.66876733421775e-34,"ncpf","IFI30"
"CACYBP",9.14269244792282e-38,0.670848056094864,0.559,0.401,1.45972227623536e-33,"ncpf","CACYBP"
"RHOB",1.47494050550744e-37,0.775188685887771,0.711,0.576,2.35489001109317e-33,"ncpf","RHOB"
"RPS5",9.36117187152829e-37,0.386412544363314,0.899,0.84,1.49460470100821e-32,"ncpf","RPS5"
"RPS4X",1.69244620041936e-36,0.316104449125699,0.975,0.959,2.70215960358955e-32,"ncpf","RPS4X"
"IER5",1.85867585277472e-34,0.73934005111066,0.724,0.608,2.96756186654013e-30,"ncpf","IER5"
"RPS8",9.16141977184184e-34,0.299357887967152,0.966,0.952,1.46271228077227e-29,"ncpf","RPS8"
"RPL36",1.76893778081619e-33,0.256582980789259,0.97,0.97,2.82428606085113e-29,"ncpf","RPL36"
"SDS",5.05317098857851e-33,0.801809802520688,0.265,0.127,8.06789280036445e-29,"ncpf","SDS"
"RPL11",1.02176755608924e-31,0.255924089741375,0.984,0.978,1.63135408005208e-27,"ncpf","RPL11"
"RPS3",4.30552942986581e-31,0.291626218712635,0.959,0.936,6.87420828772375e-27,"ncpf","RPS3"
"RPL3",6.81726932716991e-31,0.305454211654652,0.96,0.924,1.08844522077595e-26,"ncpf","RPL3"
"RPS21",1.76637307452732e-30,0.266595912600723,0.954,0.947,2.82019125079032e-26,"ncpf","RPS21"
"HSPD1",3.8794622719023e-30,0.619422437310589,0.768,0.66,6.19394946331922e-26,"ncpf","HSPD1"
"HSPE1",4.51324884054465e-30,0.555360585915823,0.89,0.851,7.20585309881359e-26,"ncpf","HSPE1"
"EEF1A1",4.95472203078748e-30,0.252345857957535,0.995,0.992,7.91070919435528e-26,"ncpf","EEF1A1"
"RPL10A",1.27723960598386e-28,0.31517596462984,0.903,0.867,2.03924075491383e-24,"ncpf","RPL10A"
"RPS9",3.47358460088608e-28,0.253474201531512,0.969,0.964,5.54592517377472e-24,"ncpf","RPS9"
"RPL15",1.62435399661671e-27,0.268227203264247,0.973,0.961,2.59344359099823e-23,"ncpf","RPL15"
"CLK1",7.31974346732019e-26,0.515860015289916,0.682,0.571,1.16867024199234e-21,"ncpf","CLK1"
"PTGES3",1.37372987404098e-25,0.482466976879192,0.664,0.563,2.19329711689382e-21,"ncpf","PTGES3"
"HES1",1.7532466191253e-24,1.05206043650086,0.363,0.233,2.79923355209545e-20,"ncpf","HES1"
