"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"HSPB1",4.96240993044031e-180,1.49868800303528,0.755,0.345,7.92298369494099e-176,"ncpf","HSPB1"
"GZMA",1.66884726358467e-112,1.70190550510897,0.806,0.51,2.66448154103928e-108,"ncpf","GZMA"
"CRIP1",4.66566733884232e-89,1.11332066678432,0.756,0.528,7.44920447319564e-85,"ncpf","CRIP1"
"PAEP",9.92186544224847e-74,0.883698860298696,0.477,0.202,1.58412503650939e-69,"ncpf","PAEP"
"IFITM1",1.085031677164e-72,0.902452899487701,0.737,0.52,1.73236157576004e-68,"ncpf","IFITM1"
"SPINK2",5.16247294976458e-58,1.53656202446963,0.271,0.083,8.24240431159412e-54,"ncpf","SPINK2"
"MIF",6.53363432016284e-47,0.62521564510719,0.748,0.598,1.0431600555572e-42,"ncpf","MIF"
"DNAJB1",1.3470396931846e-45,0.854383215162202,0.667,0.468,2.15068357413854e-41,"ncpf","DNAJB1"
"HSPA1A",3.18084984661769e-43,0.864785880429699,0.722,0.559,5.07854486510981e-39,"ncpf","HSPA1A"
"HLA-DRB1",3.35397127508399e-43,0.653394306033789,0.648,0.436,5.3549505377991e-39,"ncpf","HLA-DRB1"
"MT-CO2",6.9338063123682e-38,0.369139167128861,0.994,0.995,1.10705151583271e-33,"ncpf","MT-CO2"
"MT-ND4",7.08778285863819e-37,0.402591631035698,0.997,0.994,1.13163541121017e-32,"ncpf","MT-ND4"
"HSP90AA1",1.43144001026215e-35,0.634955889278579,0.897,0.822,2.28543712038454e-31,"ncpf","HSP90AA1"
"KLRB1",1.72341898647618e-33,0.59361304306854,0.801,0.628,2.75161075380788e-29,"ncpf","KLRB1"
"HSPA1B",3.46887142626576e-33,0.781448395016664,0.43,0.249,5.53840011917591e-29,"ncpf","HSPA1B"
"GNLY",2.86055020984095e-31,1.6176185256961,0.996,0.942,4.56715446503206e-27,"ncpf","GNLY"
"CCL3L3",3.18613451527606e-31,0.495392388802735,0.784,0.654,5.08698236708976e-27,"ncpf","CCL3L3"
"TRBC1",1.08583862130046e-30,0.526674186960704,0.414,0.229,1.73364994276831e-26,"ncpf","TRBC1"
"MT-ATP6",2.83784873935905e-29,0.379989938666304,0.986,0.983,4.53090929726065e-25,"ncpf","MT-ATP6"
"JUND",2.15426838281585e-28,0.571852387256071,0.778,0.659,3.43950490000379e-24,"ncpf","JUND"
"PIM1",2.43661984971487e-25,0.543550720330359,0.283,0.145,3.89030725205477e-21,"ncpf","PIM1"
"CCL4L2",4.47610542023444e-25,0.379836237193561,0.897,0.821,7.1465499139463e-21,"ncpf","CCL4L2"
"IER5",5.29827947447603e-25,0.545885171433553,0.334,0.187,8.45923300894844e-21,"ncpf","IER5"
"ID3",9.09779243885032e-25,0.690635915786661,0.282,0.147,1.45255354078684e-20,"ncpf","ID3"
"TRBC2",5.10354762634735e-22,0.428065530074853,0.585,0.427,8.14832414022618e-18,"ncpf","TRBC2"
"MT-CYB",5.22283981539167e-22,0.404258349018716,0.989,0.98,8.33878604925433e-18,"ncpf","MT-CYB"
"UBE2F",5.29834699560275e-22,0.553584855933437,0.366,0.23,8.45934081317934e-18,"ncpf","UBE2F"
"MT-ND4L",5.30724628316776e-22,0.548261906474914,0.525,0.378,8.47354941570565e-18,"ncpf","MT-ND4L"
"MT-CO1",8.82665487413677e-22,0.264859247023911,0.998,0.999,1.40926371720468e-17,"ncpf","MT-CO1"
"ZFAND2A",2.14882637314753e-21,0.493384796927262,0.289,0.161,3.43081618736735e-17,"ncpf","ZFAND2A"
"CTSW",3.698530562739e-21,0.429202570984506,0.932,0.87,5.90507389646909e-17,"ncpf","CTSW"
