"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006986","BP","GO:0006986","response to unfolded protein","5/15","126/12100",3.12337945201751e-07,3.12337945201751e-07,0.000222253106269878,"HSPB1/HSPA1B/SERPINH1/HSPA6/BAG3",5
"GO:0042026","BP","GO:0042026","protein refolding","3/15","25/12100",3.48762504146657e-06,3.48762504146657e-06,0.000682311563098562,"HSPB1/HSPA1B/HSPA6",3
"GO:0009408","BP","GO:0009408","response to heat","4/15","91/12100",3.83547920084991e-06,3.83547920084991e-06,0.000682311563098562,"HSPB1/HSPA1B/HSPA6/BAG3",4
"GO:0034605","BP","GO:0034605","cellular response to heat","3/15","56/12100",4.10741954095582e-05,4.10741954095582e-05,0.00487125545558971,"HSPA1B/HSPA6/BAG3",3
"GO:0031640","BP","GO:0031640","killing of cells of another organism","2/15","19/12100",0.000242320893476279,0.000242320893476279,0.0172430446305226,"GNLY/LYZ",2
"GO:0070841","BP","GO:0070841","inclusion body assembly","2/15","21/12100",0.000297161056864389,0.000297161056864389,0.0176211293368708,"HSPA1B/BAG3",2
"GO:0071398","BP","GO:0071398","cellular response to fatty acid","2/15","27/12100",0.000494553718762359,0.000494553718762359,0.027070308816466,"ID3/HES1",2
"GO:0051085","BP","GO:0051085","chaperone cofactor-dependent protein refolding","2/15","30/12100",0.00061159314564134,0.00061159314564134,0.0301719169910323,"HSPA1B/HSPA6",2
"GO:0001906","BP","GO:0001906","cell killing","3/15","141/12100",0.000636020439529898,0.000636020439529898,0.0301719169910323,"GNLY/HLA-DRB1/LYZ",3
"GO:0001895","BP","GO:0001895","retina homeostasis","2/15","49/12100",0.00163107345675816,0.00163107345675816,0.0580318766720271,"HSPB1/LYZ",2
"GO:0071396","BP","GO:0071396","cellular response to lipid","4/15","464/12100",0.00207970462475528,0.00207970462475528,0.0648373334346141,"HSPA1B/ID3/DDIT4/HES1",4
