"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002548","BP","GO:0002548","monocyte chemotaxis","5/13","50/12100",1.23164498613833e-09,1.23164498613833e-09,4.5506041066795e-07,"CCL3/CCL4/LGMN/CCL2/CCL20",5
"GO:0070098","BP","GO:0070098","chemokine-mediated signaling pathway","5/13","69/12100",6.46471827851994e-09,6.46471827851994e-09,9.778283799058e-07,"CCL3/CCL4/CXCL8/CCL2/CCL20",5
"GO:0030595","BP","GO:0030595","leukocyte chemotaxis","6/13","194/12100",2.4575356540256e-08,2.4575356540256e-08,1.07270424181303e-06,"CCL3/CCL4/CXCL8/LGMN/CCL2/CCL20",6
"GO:0002688","BP","GO:0002688","regulation of leukocyte chemotaxis","5/13","106/12100",5.71117927719057e-08,5.71117927719057e-08,1.6560362088263e-06,"CCL3/CCL4/CXCL8/LGMN/CCL2",5
"GO:0006935","BP","GO:0006935","chemotaxis","7/13","444/12100",1.21111144024326e-07,1.21111144024326e-07,2.57862411135026e-06,"CCL3/CCL4/EGR2/CXCL8/LGMN/CCL2/CCL20",7
"GO:0002687","BP","GO:0002687","positive regulation of leukocyte migration","5/13","128/12100",1.47290779636864e-07,1.47290779636864e-07,2.80449291846318e-06,"CCL3/CCL4/CXCL8/LGMN/CCL20",5
"GO:0048247","BP","GO:0048247","lymphocyte chemotaxis","4/13","48/12100",1.51810157979488e-07,1.51810157979488e-07,2.80449291846318e-06,"CCL3/CCL4/CCL2/CCL20",4
"GO:0048245","BP","GO:0048245","eosinophil chemotaxis","3/13","13/12100",2.75385569451596e-07,2.75385569451596e-07,4.84512956779499e-06,"CCL3/CCL4/CCL2",3
"GO:0071677","BP","GO:0071677","positive regulation of mononuclear cell migration","4/13","66/12100",5.56293400698604e-07,5.56293400698604e-07,8.22143089032463e-06,"CCL3/CCL4/LGMN/CCL20",4
"GO:0002690","BP","GO:0002690","positive regulation of leukocyte chemotaxis","4/13","82/12100",1.33718660751069e-06,1.33718660751069e-06,1.70363883570327e-05,"CCL3/CCL4/CXCL8/LGMN",4
"GO:0019221","BP","GO:0019221","cytokine-mediated signaling pathway","6/13","386/12100",1.43893531380329e-06,1.43893531380329e-06,1.77216243910511e-05,"CCL3/CCL4/CXCL8/CCL2/CCL20/IFI27",6
"GO:2000403","BP","GO:2000403","positive regulation of lymphocyte migration","3/13","38/12100",7.99787364268734e-06,7.99787364268734e-06,7.9864968665242e-05,"CCL3/CCL4/CCL20",3
"GO:0019722","BP","GO:0019722","calcium-mediated signaling","4/13","155/12100",1.6927475040515e-05,1.6927475040515e-05,0.000164585699147389,"CCL3/CCL4/CXCL8/CCL20",4
"GO:0016032","BP","GO:0016032","viral process","5/13","364/12100",2.52768607574624e-05,2.52768607574624e-05,0.000233478371733403,"CCL3/CCL4/CXCL8/CCL2/IFI27",5
"GO:0072678","BP","GO:0072678","T cell migration","3/13","63/12100",3.70687124743215e-05,3.70687124743215e-05,0.000334046677239714,"CCL3/CCL2/CCL20",3
"GO:0051851","BP","GO:0051851","modulation by host of symbiont process","3/13","71/12100",5.30875684149278e-05,5.30875684149278e-05,0.00046701094019147,"CCL3/CCL4/IFI27",3
"GO:0043922","BP","GO:0043922","negative regulation by host of viral transcription","2/13","12/12100",6.99037590679858e-05,6.99037590679858e-05,0.000549523391553483,"CCL3/CCL4",2
"GO:0090280","BP","GO:0090280","positive regulation of calcium ion import","2/13","12/12100",6.99037590679858e-05,6.99037590679858e-05,0.000549523391553483,"CCL3/CCL2",2
