"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009408","BP","GO:0009408","response to heat","6/22","91/12100",1.03715830432838e-08,1.03715830432838e-08,7.83873328955558e-06,"HSPB1/DNAJB1/HSPA1A/HSP90AA1/HSPA1B/IER5",6
"GO:0034605","BP","GO:0034605","cellular response to heat","5/22","56/12100",4.3872311547207e-08,4.3872311547207e-08,1.65791156267866e-05,"DNAJB1/HSPA1A/HSP90AA1/HSPA1B/IER5",5
"GO:0042026","BP","GO:0042026","protein refolding","4/22","25/12100",1.01093698453984e-07,1.01093698453984e-07,2.54685177157757e-05,"HSPB1/HSPA1A/HSP90AA1/HSPA1B",4
"GO:0090084","BP","GO:0090084","negative regulation of inclusion body assembly","3/22","10/12100",6.20900041628366e-07,6.20900041628366e-07,9.38539431345615e-05,"DNAJB1/HSPA1A/HSPA1B",3
"GO:0006986","BP","GO:0006986","response to unfolded protein","5/22","126/12100",2.58340790160715e-06,2.58340790160715e-06,0.000310642085764216,"HSPB1/DNAJB1/HSPA1A/HSP90AA1/HSPA1B",5
"GO:0061077","BP","GO:0061077","chaperone-mediated protein folding","4/22","64/12100",4.84700555698284e-06,4.84700555698284e-06,0.000457914472357063,"HSPB1/DNAJB1/HSPA1A/HSPA1B",4
"GO:0046718","BP","GO:0046718","viral entry into host cell","4/22","118/12100",5.48877439033618e-05,5.48877439033618e-05,0.00276557193842904,"IFITM1/HSPA1A/HLA-DRB1/HSPA1B",4
"GO:0001819","BP","GO:0001819","positive regulation of cytokine production","6/22","408/12100",6.676679888042e-05,6.676679888042e-05,0.00296833198737719,"HSPB1/PAEP/MIF/HSPA1A/HSP90AA1/HSPA1B",6
"GO:0009617","BP","GO:0009617","response to bacterium","6/22","484/12100",0.000171381588468487,0.000171381588468487,0.00618504031306417,"GZMA/MIF/HLA-DRB1/GNLY/TRBC1/JUND",6
"GO:0010968","BP","GO:0010968","regulation of microtubule nucleation","2/22","11/12100",0.00017185453237553,0.00017185453237553,0.00618504031306417,"HSPA1A/HSPA1B",2
"GO:0050821","BP","GO:0050821","protein stabilization","4/22","184/12100",0.000305519388350119,0.000305519388350119,0.00904189875735591,"HSPA1A/HSP90AA1/HSPA1B/PIM1",4
"GO:0032273","BP","GO:0032273","positive regulation of protein polymerization","3/22","74/12100",0.000311051391792049,0.000311051391792049,0.00904189875735591,"HSPA1A/HSP90AA1/HSPA1B",3
"GO:2001234","BP","GO:2001234","negative regulation of apoptotic signaling pathway","4/22","193/12100",0.000366433089777545,0.000366433089777545,0.0100653722774007,"HSPB1/MIF/HSPA1A/HSPA1B",4
"GO:1900034","BP","GO:1900034","regulation of cellular response to heat","2/22","16/12100",0.000372895407491445,0.000372895407491445,0.0100653722774007,"DNAJB1/IER5",2
"GO:0051131","BP","GO:0051131","chaperone-mediated protein complex assembly","2/22","19/12100",0.000529622995008577,0.000529622995008577,0.0134870867570479,"HSPA1A/HSP90AA1",2
"GO:2001243","BP","GO:2001243","negative regulation of intrinsic apoptotic signaling pathway","3/22","89/12100",0.000535386008999724,0.000535386008999724,0.0134870867570479,"HSPB1/MIF/HSPA1A",3
"GO:0045639","BP","GO:0045639","positive regulation of myeloid cell differentiation","3/22","90/12100",0.000553195967959696,0.000553195967959696,0.0134870867570479,"HSPA1A/HLA-DRB1/HSPA1B",3
"GO:0032069","BP","GO:0032069","regulation of nuclease activity","2/22","21/12100",0.000648983254260194,0.000648983254260194,0.0153279597552243,"GZMA/HSPA1A",2
"GO:0045667","BP","GO:0045667","regulation of osteoblast differentiation","3/22","98/12100",0.000709484652733236,0.000709484652733236,0.0158514826645569,"IFITM1/JUND/ID3",3
"GO:0097193","BP","GO:0097193","intrinsic apoptotic signaling pathway","4/22","263/12100",0.00117184804470579,0.00117184804470579,0.0216017174864893,"HSPB1/CRIP1/MIF/HSPA1A",4
"GO:0071396","BP","GO:0071396","cellular response to lipid","5/22","464/12100",0.00124342193188887,0.00124342193188887,0.022085572296978,"MIF/HSPA1A/HSPA1B/PIM1/ID3",5
"GO:0046596","BP","GO:0046596","regulation of viral entry into host cell","2/22","34/12100",0.00170908336907747,0.00170908336907747,0.0269105670832812,"IFITM1/HLA-DRB1",2
"GO:0002831","BP","GO:0002831","regulation of response to biotic stimulus","4/22","298/12100",0.00185737418200532,0.00185737418200532,0.0286486501112743,"MIF/HLA-DRB1/HSP90AA1/KLRB1",4
"GO:0001906","BP","GO:0001906","cell killing","3/22","141/12100",0.00202797337558363,0.00202797337558363,0.0300533515721165,"HLA-DRB1/KLRB1/GNLY",3
"GO:0002833","BP","GO:0002833","positive regulation of response to biotic stimulus","3/22","150/12100",0.00241903686388036,0.00241903686388036,0.032075133301313,"MIF/HLA-DRB1/HSP90AA1",3
"GO:0006959","BP","GO:0006959","humoral immune response","3/22","154/12100",0.0026068502765685,0.0026068502765685,0.0331438872107253,"HLA-DRB1/GNLY/TRBC1",3
"GO:0046677","BP","GO:0046677","response to antibiotic","2/22","44/12100",0.00285046662292798,0.00285046662292798,0.0331438872107253,"CRIP1/HSP90AA1",2
"GO:0002696","BP","GO:0002696","positive regulation of leukocyte activation","4/22","352/12100",0.00340000953918078,0.00340000953918078,0.0377895797079226,"MIF/HLA-DRB1/TRBC1/JUND",4
"GO:0043030","BP","GO:0043030","regulation of macrophage activation","2/22","49/12100",0.0035240801188928,0.0035240801188928,0.0381334773069453,"MIF/JUND",2
"GO:0051090","BP","GO:0051090","regulation of DNA-binding transcription factor activity","4/22","361/12100",0.0037225711939904,0.0037225711939904,0.0381334773069453,"HSPA1A/HSPA1B/PIM1/ID3",4
"GO:0032103","BP","GO:0032103","positive regulation of response to external stimulus","4/22","373/12100",0.00418447641912325,0.00418447641912325,0.0400326991196601,"HSPB1/MIF/HSP90AA1/NEAT1",4
"GO:0045669","BP","GO:0045669","positive regulation of osteoblast differentiation","2/22","54/12100",0.00426474096924629,0.00426474096924629,0.0401790477485033,"IFITM1/JUND",2
"GO:0002764","BP","GO:0002764","immune response-regulating signaling pathway","4/22","391/12100",0.0049484792385636,0.0049484792385636,0.044000100226485,"HSPA1A/HLA-DRB1/HSPA1B/TRBC1",4
"GO:0030522","BP","GO:0030522","intracellular receptor signaling pathway","3/22","212/12100",0.00638695042874864,0.00638695042874864,0.0554849414136905,"HSPA1A/HSPA1B/PIM1",3
"GO:0001910","BP","GO:0001910","regulation of leukocyte mediated cytotoxicity","2/22","75/12100",0.00808179111439373,0.00808179111439373,0.0636263817997226,"HLA-DRB1/KLRB1",2
"GO:0033138","BP","GO:0033138","positive regulation of peptidyl-serine phosphorylation","2/22","75/12100",0.00808179111439373,0.00808179111439373,0.0636263817997226,"MIF/HSP90AA1",2
"GO:0034599","BP","GO:0034599","cellular response to oxidative stress","3/22","238/12100",0.0087787692530874,0.0087787692530874,0.0677030754427148,"HSPB1/HSPA1A/HSPA1B",3
"GO:0048872","BP","GO:0048872","homeostasis of number of cells","3/22","257/12100",0.0108199345494583,0.0108199345494583,0.0800791522066637,"MIF/HSPA1A/HSPA1B",3
"GO:0032760","BP","GO:0032760","positive regulation of tumor necrosis factor production","2/22","91/12100",0.0117188368010234,0.0117188368010234,0.0827754532526786,"HSPB1/MIF",2
"GO:0050871","BP","GO:0050871","positive regulation of B cell activation","2/22","92/12100",0.0119661454621485,0.0119661454621485,0.0829714383565682,"MIF/TRBC1",2
"GO:0002449","BP","GO:0002449","lymphocyte mediated immunity","3/22","268/12100",0.0121180815768768,0.0121180815768768,0.0832610772459094,"HLA-DRB1/KLRB1/TRBC1",3
"GO:0007286","BP","GO:0007286","spermatid development","2/22","95/12100",0.0127218453868774,0.0127218453868774,0.0850888214976992,"PAEP/SPINK2",2
"GO:0008630","BP","GO:0008630","intrinsic apoptotic signaling pathway in response to DNA damage","2/22","97/12100",0.013237040009296,0.013237040009296,0.0877580307172164,"CRIP1/MIF",2
