"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048525","BP","GO:0048525","negative regulation of viral process","3/15","75/12100",9.86490663372765e-05,9.86490663372765e-05,0.0270578578016543,"LY6E/BST2/ISG15",3
"GO:0031424","BP","GO:0031424","keratinization","2/15","18/12100",0.000216968792032891,0.000216968792032891,0.0270578578016543,"KRT81/KRT86",2
"GO:1903901","BP","GO:1903901","negative regulation of viral life cycle","2/15","19/12100",0.000242320893476279,0.000242320893476279,0.0270578578016543,"LY6E/BST2",2
"GO:0002443","BP","GO:0002443","leukocyte mediated immunity","4/15","349/12100",0.000721543590229609,0.000721543590229609,0.0360229281137188,"IGKC/HLA-B/BST2/GZMB",4
"GO:0002250","BP","GO:0002250","adaptive immune response","4/15","420/12100",0.0014403515827843,0.0014403515827843,0.0503364974194091,"IGKC/HLA-B/ZNF683/CD7",4
"GO:0045071","BP","GO:0045071","negative regulation of viral genome replication","2/15","49/12100",0.00163107345675816,0.00163107345675816,0.051819750013752,"BST2/ISG15",2
"GO:0007169","BP","GO:0007169","transmembrane receptor protein tyrosine kinase signaling pathway","4/15","481/12100",0.00237270198529066,0.00237270198529066,0.0550743332353108,"AREG/CD7/IFI6/IGFBP2",4
"GO:0002704","BP","GO:0002704","negative regulation of leukocyte mediated immunity","2/15","61/12100",0.00251644900576361,0.00251644900576361,0.0550743332353108,"HLA-B/BST2",2
"GO:0042058","BP","GO:0042058","regulation of epidermal growth factor receptor signaling pathway","2/15","64/12100",0.00276627587580915,0.00276627587580915,0.0550743332353108,"AREG/IFI6",2
"GO:0042267","BP","GO:0042267","natural killer cell mediated cytotoxicity","2/15","65/12100",0.00285205318960947,0.00285205318960947,0.0550743332353108,"HLA-B/GZMB",2
"GO:0045824","BP","GO:0045824","negative regulation of innate immune response","2/15","67/12100",0.00302734351985231,0.00302734351985231,0.0550743332353108,"HLA-B/ISG15",2
"GO:0051607","BP","GO:0051607","defense response to virus","3/15","246/12100",0.00315184437190032,0.00315184437190032,0.0550743332353108,"BST2/ISG15/IFI6",3
"GO:0048545","BP","GO:0048545","response to steroid hormone","3/15","251/12100",0.00333629873549196,0.00333629873549196,0.0555213624152045,"AREG/SPP1/IGFBP2",3
