"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006986","BP","GO:0006986","response to unfolded protein","11/25","126/12100",3.94609275873529e-16,3.94609275873529e-16,3.16933555254214e-13,"HSPB1/HSPA1B/HSPA6/DNAJB1/HSPA1A/HSP90AA1/HSPE1/HSP90AB1/HSPH1/DNAJA1/HSPD1",11
"GO:0042026","BP","GO:0042026","protein refolding","7/25","25/12100",3.0008379651427e-14,3.0008379651427e-14,6.63046383642645e-12,"HSPB1/HSPA1B/HSPA6/HSPA1A/HSP90AA1/DNAJA1/HSPD1",7
"GO:0006458","BP","GO:0006458","'de novo' protein folding","7/25","38/12100",7.7458540131529e-13,7.7458540131529e-13,1.24422876042856e-10,"HSPA1B/HSPA6/DNAJB1/HSPA1A/HSPE1/HSPH1/HSPD1",7
"GO:0009266","BP","GO:0009266","response to temperature stimulus","9/25","141/12100",5.34169580535895e-12,5.34169580535895e-12,7.15037526226119e-10,"HSPB1/HSPA1B/HSPA6/DNAJB1/HSPA1A/HSP90AA1/HSP90AB1/DNAJA1/HSPD1",9
"GO:0009408","BP","GO:0009408","response to heat","8/25","91/12100",7.28564396791514e-12,7.28564396791514e-12,8.35931781581842e-10,"HSPB1/HSPA1B/HSPA6/DNAJB1/HSPA1A/HSP90AA1/HSP90AB1/DNAJA1",8
"GO:0051085","BP","GO:0051085","chaperone cofactor-dependent protein refolding","6/25","30/12100",2.33855161456726e-11,2.33855161456726e-11,2.34778273936161e-09,"HSPA1B/HSPA6/DNAJB1/HSPA1A/HSPE1/HSPH1",6
"GO:0061077","BP","GO:0061077","chaperone-mediated protein folding","7/25","64/12100",3.68548126783272e-11,3.68548126783272e-11,3.28891486240511e-09,"HSPB1/HSPA1B/HSPA6/DNAJB1/HSPA1A/HSPE1/HSPH1",7
"GO:0034605","BP","GO:0034605","cellular response to heat","6/25","56/12100",1.23465715055878e-09,1.23465715055878e-09,9.0147694342234e-08,"HSPA1B/HSPA6/DNAJB1/HSPA1A/HSP90AA1/HSP90AB1",6
"GO:0051131","BP","GO:0051131","chaperone-mediated protein complex assembly","4/25","19/12100",5.37903848984777e-08,5.37903848984777e-08,3.60018102434548e-06,"HSPA1A/HSP90AA1/HSP90AB1/HSPD1",4
"GO:0001819","BP","GO:0001819","positive regulation of cytokine production","9/25","408/12100",6.52713851606792e-08,6.52713851606792e-08,4.03255602247759e-06,"HSPB1/HSPA1B/HSPA1A/HSP90AA1/MIF/PAEP/HSPD1/IFNG/XCL1",9
"GO:0090084","BP","GO:0090084","negative regulation of inclusion body assembly","3/25","10/12100",9.26110525761364e-07,9.26110525761364e-07,5.31294985831519e-05,"HSPA1B/DNAJB1/HSPA1A",3
"GO:1902947","BP","GO:1902947","regulation of tau-protein kinase activity","3/25","11/12100",1.27166539015619e-06,1.27166539015619e-06,6.80898731711699e-05,"HSP90AA1/HSP90AB1/IFNG",3
"GO:0033138","BP","GO:0033138","positive regulation of peptidyl-serine phosphorylation","4/25","75/12100",1.56041928948861e-05,1.56041928948861e-05,0.000696257261918018,"HSP90AA1/MIF/HSP90AB1/IFNG",4
"GO:0045732","BP","GO:0045732","positive regulation of protein catabolic process","5/25","182/12100",3.0323838906797e-05,3.0323838906797e-05,0.00106878995993608,"HSPA1B/HSPA1A/HSP90AA1/ZFAND2A/IFNG",5
"GO:0034620","BP","GO:0034620","cellular response to unfolded protein","4/25","89/12100",3.07415971089118e-05,3.07415971089118e-05,0.00106878995993608,"HSPA1B/HSPA6/HSPA1A/HSPD1",4
"GO:2001243","BP","GO:2001243","negative regulation of intrinsic apoptotic signaling pathway","4/25","89/12100",3.07415971089118e-05,3.07415971089118e-05,0.00106878995993608,"HSPB1/HSPA1A/MIF/DNAJA1",4
"GO:0042176","BP","GO:0042176","regulation of protein catabolic process","6/25","310/12100",3.16226815093085e-05,3.16226815093085e-05,0.00106878995993608,"HSPA1B/HSPA1A/HSP90AA1/ZFAND2A/HSP90AB1/IFNG",6
"GO:0031396","BP","GO:0031396","regulation of protein ubiquitination","5/25","184/12100",3.19577321493165e-05,3.19577321493165e-05,0.00106878995993608,"HSPA1B/HSPA1A/HSP90AA1/HSP90AB1/DNAJA1",5
"GO:0050821","BP","GO:0050821","protein stabilization","5/25","184/12100",3.19577321493165e-05,3.19577321493165e-05,0.00106878995993608,"HSPA1B/HSPA1A/HSP90AA1/HSP90AB1/HSPD1",5
"GO:2001233","BP","GO:2001233","regulation of apoptotic signaling pathway","6/25","313/12100",3.33825637730399e-05,3.33825637730399e-05,0.00106878995993608,"HSPB1/HSPA1B/HSPA1A/MIF/DNAJA1/DEDD2",6
"GO:0045862","BP","GO:0045862","positive regulation of proteolysis","6/25","315/12100",3.45990983098574e-05,3.45990983098574e-05,0.00106878995993608,"HSPA1B/HSPA1A/HSPE1/ZFAND2A/HSPD1/IFNG",6
"GO:0051345","BP","GO:0051345","positive regulation of hydrolase activity","7/25","479/12100",3.76620017378669e-05,3.76620017378669e-05,0.00112031607508742,"HSPA1A/HSPE1/CCL3L3/HSP90AB1/HSPD1/IFNG/XCL1",7
"GO:2001234","BP","GO:2001234","negative regulation of apoptotic signaling pathway","5/25","193/12100",4.017654184265e-05,4.017654184265e-05,0.00115243238443391,"HSPB1/HSPA1B/HSPA1A/MIF/DNAJA1",5
"GO:0034341","BP","GO:0034341","response to interferon-gamma","4/25","117/12100",8.97771393745789e-05,8.97771393745789e-05,0.00206014909301665,"IFITM1/CCL3L3/IFNG/XCL1",4
"GO:0019221","BP","GO:0019221","cytokine-mediated signaling pathway","6/25","386/12100",0.00010725246258622,0.00010725246258622,0.00239279616822473,"HSPA1B/HSPA1A/IFITM1/CCL3L3/IFNG/XCL1",6
"GO:0072594","BP","GO:0072594","establishment of protein localization to organelle","6/25","388/12100",0.00011034996178181,0.00011034996178181,0.00239536332402621,"HSP90AA1/ZFAND2A/HSP90AB1/DNAJA1/HSPD1/IFNG",6
"GO:0032434","BP","GO:0032434","regulation of proteasomal ubiquitin-dependent protein catabolic process","4/25","126/12100",0.000119698369585321,0.000119698369585321,0.00246897777354432,"HSPA1B/HSPA1A/ZFAND2A/HSP90AB1",4
"GO:0044403","BP","GO:0044403","biological process involved in symbiotic interaction","5/25","243/12100",0.000119889418754675,0.000119889418754675,0.00246897777354432,"HSPA1B/HSPA1A/IFITM1/HSP90AB1/HSPD1",5
"GO:0060326","BP","GO:0060326","cell chemotaxis","5/25","251/12100",0.000139594959983475,0.000139594959983475,0.00280291985440504,"HSPB1/MIF/CCL3L3/NR4A1/XCL1",5
"GO:0097193","BP","GO:0097193","intrinsic apoptotic signaling pathway","5/25","263/12100",0.000173715760846268,0.000173715760846268,0.00317093601736131,"HSPB1/CRIP1/HSPA1A/MIF/DNAJA1",5
"GO:0045793","BP","GO:0045793","positive regulation of cell size","2/25","10/12100",0.000182567776201129,0.000182567776201129,0.00322626709542447,"HSP90AA1/HSP90AB1",2
