"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002449","BP","GO:0002449","lymphocyte mediated immunity","4/7","268/12100",7.81594293504291e-06,7.81594293504291e-06,0.00167141239792044,"IGKC/HLA-B/GZMB/PRF1",4
"GO:0001909","BP","GO:0001909","leukocyte mediated cytotoxicity","3/7","114/12100",2.77352275637453e-05,2.77352275637453e-05,0.00167141239792044,"HLA-B/GZMB/PRF1",3
"GO:0008037","BP","GO:0008037","cell recognition","3/7","114/12100",2.77352275637453e-05,2.77352275637453e-05,0.00167141239792044,"IGKC/CXCR4/PRF1",3
"GO:0019835","BP","GO:0019835","cytolysis","2/7","18/12100",4.37009273505648e-05,4.37009273505648e-05,0.00210487689448794,"GZMB/PRF1",2
"GO:0001913","BP","GO:0001913","T cell mediated cytotoxicity","2/7","44/12100",0.000268272606640828,0.000268272606640828,0.00923825968733077,"HLA-B/PRF1",2
"GO:0002460","BP","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","3/7","279/12100",0.000396291626402851,0.000396291626402851,0.0116583553637633,"IGKC/HLA-B/PRF1",3
"GO:0042267","BP","GO:0042267","natural killer cell mediated cytotoxicity","2/7","65/12100",0.000586451001796006,0.000586451001796006,0.0132587197822129,"HLA-B/GZMB",2
"GO:0009615","BP","GO:0009615","response to virus","3/7","332/12100",0.000660041072127628,0.000660041072127628,0.0132587197822129,"CXCR4/IFI6/PRF1",3
"GO:0048871","BP","GO:0048871","multicellular organismal homeostasis","3/7","400/12100",0.00113644703805651,0.00113644703805651,0.0188256614381564,"IGKC/CXCR4/SPP1",3
"GO:0008637","BP","GO:0008637","apoptotic mitochondrial changes","2/7","92/12100",0.00117146583185034,0.00117146583185034,0.0188256614381564,"IFI6/GZMB",2
"GO:0051606","BP","GO:0051606","detection of stimulus","2/7","117/12100",0.00188601003245491,0.00188601003245491,0.0252570934170862,"HLA-B/CXCR4",2
"GO:1903034","BP","GO:1903034","regulation of response to wounding","2/7","128/12100",0.00225212806317808,0.00225212806317808,0.028572705067467,"CXCR4/SPP1",2
"GO:0002357","BP","GO:0002357","defense response to tumor cell","1/7","10/12100",0.00577222816573131,0.00577222816573131,0.0364417755097835,"PRF1",1
"GO:0050966","BP","GO:0050966","detection of mechanical stimulus involved in sensory perception of pain","1/7","10/12100",0.00577222816573131,0.00577222816573131,0.0364417755097835,"CXCR4",1
"GO:0001894","BP","GO:0001894","tissue homeostasis","2/7","207/12100",0.00577989658926918,0.00577989658926918,0.0364417755097835,"IGKC/SPP1",2
"GO:0048681","BP","GO:0048681","negative regulation of axon regeneration","1/7","11/12100",0.00634787699971318,0.00634787699971318,0.0364417755097835,"SPP1",1
"GO:1901030","BP","GO:1901030","positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway","1/7","11/12100",0.00634787699971318,0.00634787699971318,0.0364417755097835,"GZMB",1
"GO:0002664","BP","GO:0002664","regulation of T cell tolerance induction","1/7","12/12100",0.00692324012825996,0.00692324012825996,0.0364417755097835,"HLA-B",1
"GO:0051607","BP","GO:0051607","defense response to virus","2/7","246/12100",0.0080814258055613,0.0080814258055613,0.0364417755097835,"IFI6/PRF1",2
"GO:0051900","BP","GO:0051900","regulation of mitochondrial depolarization","1/7","15/12100",0.00864761646286771,0.00864761646286771,0.0364417755097835,"IFI6",1
"GO:0032102","BP","GO:0032102","negative regulation of response to external stimulus","2/7","309/12100",0.0125400839493704,0.0125400839493704,0.039745974477456,"HLA-B/SPP1",2
"GO:0006910","BP","GO:0006910","phagocytosis, recognition","1/7","35/12100",0.0200780086983446,0.0200780086983446,0.0424548845052717,"IGKC",1
"GO:0050778","BP","GO:0050778","positive regulation of immune response","2/7","458/12100",0.0264581529282225,0.0264581529282225,0.0444038797776852,"IGKC/HLA-B",2
"GO:0009897","CC","GO:0009897","external side of plasma membrane","2/7","316/12545",0.0122156536066499,0.0122156536066499,0.0389154522718528,"IGKC/CXCR4",2
