"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","GO:0002181","cytoplasmic translation","27/96","149/12100",6.24652397200771e-30,1.39110088856612e-26,1.22892140038762e-26,"RPS3A/RPS27/RPS29/RPL36A/RPL37A/RPL37/RPS6/RPL13/RPL34/RPS15A/RPL10/RPL27A/RPS5/RPS4X/RPS8/RPL36/RPL11/RPS3/RPL3/RPS21/RPL10A/RPS9/RPL15/RPL7/RPL17/RPL4/RPL5",27
"GO:0006986","GO:0006986","response to unfolded protein","16/96","126/12100",2.37402813175052e-15,2.64348032470421e-12,2.33529398854828e-12,"HSPB1/HSPA1B/HSP90AA1/SERPINH1/DNAJB1/HSPA6/BAG3/HSPD1/HSPE1/PPP1R15A/HSPA5/XBP1/DNAJB4/HSPH1/DDIT3/HERPUD1",16
"GO:0035966","GO:0035966","response to topologically incorrect protein","16/96","147/12100",2.83962021150988e-14,2.10794473701083e-11,1.86219304396911e-11,"HSPB1/HSPA1B/HSP90AA1/SERPINH1/DNAJB1/HSPA6/BAG3/HSPD1/HSPE1/PPP1R15A/HSPA5/XBP1/DNAJB4/HSPH1/DDIT3/HERPUD1",16
"GO:0061077","GO:0061077","chaperone-mediated protein folding","11/96","64/12100",2.29239096085964e-12,1.27628866745861e-09,1.12749439627544e-09,"HSPB1/HSPA1B/DNAJB1/HSPA6/FKBP4/HSPE1/PTGES3/HSPA5/DNAJB4/HSPH1/DNAJB6",11
"GO:0006458","GO:0006458","'de novo' protein folding","9/96","38/12100",1.14592656649034e-11,5.10395692714799e-09,4.50891947951674e-09,"HSPA1B/DNAJB1/HSPA6/HSPD1/HSPE1/PTGES3/HSPA5/DNAJB4/HSPH1",9
"GO:0006457","GO:0006457","protein folding","15/96","187/12100",1.70959873815589e-11,6.34546064978862e-09,5.60568428353222e-09,"HSPB1/HSPA1B/HSP90AA1/DNAJB1/HSPA6/BAG3/FKBP4/HSPD1/HSPE1/PTGES3/HSPA5/DNAJA4/DNAJB4/HSPH1/DNAJB6",15
"GO:0051085","GO:0051085","chaperone cofactor-dependent protein refolding","8/96","30/12100",5.91779118529227e-11,1.8827029956637e-08,1.66321078576109e-08,"HSPA1B/DNAJB1/HSPA6/HSPE1/PTGES3/HSPA5/DNAJB4/HSPH1",8
"GO:0051084","GO:0051084","'de novo' post-translational protein folding","8/96","34/12100",1.78870920195953e-10,4.97931924095485e-08,4.3988124979768e-08,"HSPA1B/DNAJB1/HSPA6/HSPE1/PTGES3/HSPA5/DNAJB4/HSPH1",8
"GO:0042026","GO:0042026","protein refolding","7/96","25/12100",6.78136481666165e-10,1.67801104963394e-07,1.48238255465972e-07,"HSPB1/HSPA1B/HSP90AA1/HSPA6/HSPD1/HSPA5/DNAJA4",7
"GO:0009408","GO:0009408","response to heat","10/96","91/12100",2.31968313883123e-09,5.16593435017715e-07,4.56367135418481e-07,"HSPB1/HSPA1B/HSP90AA1/DNAJB1/HSPA6/BAG3/IER5/DNAJA4/DNAJB4/DNAJB6",10
"GO:0009266","GO:0009266","response to temperature stimulus","11/96","141/12100",1.37605367116127e-08,2.78588320516014e-06,2.46109503483294e-06,"HSPB1/HSPA1B/HSP90AA1/DNAJB1/HSPA6/BAG3/IER5/HSPD1/DNAJA4/DNAJB4/DNAJB6",11
"GO:0034620","GO:0034620","cellular response to unfolded protein","9/96","89/12100",3.20763805919625e-08,5.95284163152505e-06,5.25883818652438e-06,"HSPA1B/HSPA6/BAG3/HSPD1/PPP1R15A/HSPA5/XBP1/DDIT3/HERPUD1",9
"GO:0035967","GO:0035967","cellular response to topologically incorrect protein","9/96","108/12100",1.74452625080994e-07,2.98850766196441e-05,2.64009681195447e-05,"HSPA1B/HSPA6/BAG3/HSPD1/PPP1R15A/HSPA5/XBP1/DDIT3/HERPUD1",9
"GO:0034605","GO:0034605","cellular response to heat","7/96","56/12100",2.67848876361189e-07,4.26071034040263e-05,3.76398157833881e-05,"HSPA1B/HSP90AA1/DNAJB1/HSPA6/BAG3/IER5/DNAJB6",7
"GO:0043618","GO:0043618","regulation of transcription from RNA polymerase II promoter in response to stress","6/96","37/12100",4.06045663827467e-07,6.02842462229179e-05,5.32560944346341e-05,"BAG3/HSPA5/HIF1A/JUN/KLF2/DDIT3",6
"GO:0070841","GO:0070841","inclusion body assembly","5/96","21/12100",5.2083582348225e-07,7.24938361809356e-05,6.4042246979495e-05,"HSPA1B/DNAJB1/BAG3/DNAJA4/DNAJB6",5
"GO:0090084","GO:0090084","negative regulation of inclusion body assembly","4/96","10/12100",7.53360160559864e-07,9.86901810333423e-05,8.71845287979187e-05,"HSPA1B/DNAJB1/DNAJA4/DNAJB6",4
"GO:0043620","GO:0043620","regulation of DNA-templated transcription in response to stress","6/96","42/12100",8.87436486893872e-07,0.000109795614239592,9.69952511113828e-05,"BAG3/HSPA5/HIF1A/JUN/KLF2/DDIT3",6
"GO:2001233","GO:2001233","regulation of apoptotic signaling pathway","13/96","313/12100",1.0626023684817e-06,0.00011900652625701,0.000105132322252902,"HSPB1/HSPA1B/RPL11/RPS3/MIF/UBB/HIF1A/XBP1/DEDD2/HMGB2/SLC25A6/DDIT3/HERPUD1",13
"GO:0097193","GO:0097193","intrinsic apoptotic signaling pathway","12/96","263/12100",1.06876090037728e-06,0.00011900652625701,0.000105132322252902,"HSPB1/DDIT4/RPL11/RPS3/PPP1R15A/MIF/UBB/HIF1A/XBP1/DDIT3/HERPUD1/CYCS",12
"GO:1903320","GO:1903320","regulation of protein modification by small protein conjugation or removal","11/96","222/12100",1.39012277122091e-06,0.000147419210071856,0.000130232554356486,"HSPA1B/HSP90AA1/RPL37/RPL11/RPS3/HSPA5/RPL5/UBB/HIF1A/ARRDC3/HERPUD1",11
"GO:0031396","GO:0031396","regulation of protein ubiquitination","10/96","184/12100",1.88427295091171e-06,0.000190739811894562,0.000168502686375788,"HSPA1B/HSP90AA1/RPL37/RPL11/RPS3/HSPA5/RPL5/UBB/ARRDC3/HERPUD1",10
"GO:2001242","GO:2001242","regulation of intrinsic apoptotic signaling pathway","9/96","149/12100",2.66398057418321e-06,0.000257942814726348,0.000227870924171552,"HSPB1/RPL11/RPS3/MIF/UBB/HIF1A/XBP1/DDIT3/HERPUD1",9
"GO:0001819","GO:0001819","positive regulation of cytokine production","14/96","408/12100",3.78151530890902e-06,0.000350893108039182,0.000309984741769779,"HSPB1/PAEP/HSPA1B/HSP90AA1/RPS3/HSPD1/MIF/HIF1A/XBP1/HMGB2/LUM/ZC3HAV1/IRF8/DDIT3",14
"GO:0010942","GO:0010942","positive regulation of cell death","15/96","486/12100",6.00907520375617e-06,0.0005352884191506,0.000472882591824012,"ID3/DDIT4/GZMA/RPS6/RHOB/RPL11/RPS3/HSPD1/UBB/GADD45G/DEDD2/JUN/GADD45B/DDIT3/CTSD",15
"GO:0090083","GO:0090083","regulation of inclusion body assembly","4/96","16/12100",6.29472258313607e-06,0.000539167199717078,0.000476309170359567,"HSPA1B/DNAJB1/DNAJA4/DNAJB6",4
"GO:0043065","GO:0043065","positive regulation of apoptotic process","14/96","428/12100",6.56304891892313e-06,0.000541329997868215,0.000478219821811592,"ID3/GZMA/RPS6/RHOB/RPL11/RPS3/HSPD1/UBB/GADD45G/DEDD2/JUN/GADD45B/DDIT3/CTSD",14
"GO:0043068","GO:0043068","positive regulation of programmed cell death","14/96","440/12100",8.99680436954182e-06,0.000715567261820344,0.000632143885965176,"ID3/GZMA/RPS6/RHOB/RPL11/RPS3/HSPD1/UBB/GADD45G/DEDD2/JUN/GADD45B/DDIT3/CTSD",14
