"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009617","GO:0009617","response to bacterium","29/107","484/12100",8.54439785286824e-17,2.20616352561058e-13,1.69898605727033e-13,"IGKC/CCL3/HLA-B/CXCL8/CXCL2/CFD/CCL2/CCL20/SOD2/ISG15/C2/CD14/S100A9/CXCL3/FCGR1A/GRN/S100A8/LY96/RGS1/OAS1/NFKB1/C3/IFI44/IL1B/CD4/STAB1/ADAM17/C15orf48/TNF",29
"GO:0006959","GO:0006959","humoral immune response","17/107","154/12100",2.14490906890644e-14,2.76907760795821e-11,2.13249117429698e-11,"IGKC/CXCL8/C1QA/C1QB/C1QC/CXCL2/SERPING1/CFD/CCL2/VSIG4/C2/S100A9/CD83/CXCL3/C3/IL1B/TNF",17
"GO:0002443","GO:0002443","leukocyte mediated immunity","20/107","349/12100",2.24809564615892e-11,1.8651912955475e-08,1.43640032503943e-08,"HLA-DQA2/IGKC/CCL3/HLA-B/FCGR3A/C1QA/C1QB/C1QC/BST2/SERPING1/NR4A3/HLA-DRB5/C2/FCGR1A/LILRB4/HLA-DPB1/C3/IL1B/ADAM17/TNF",20
"GO:0006956","GO:0006956","complement activation","10/107","54/12100",3.29854099547147e-11,1.8651912955475e-08,1.43640032503943e-08,"IGKC/C1QA/C1QB/C1QC/SERPING1/CFD/VSIG4/C2/C3/IL1B",10
"GO:0002460","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","18/107","279/12100",3.61191188138555e-11,1.8651912955475e-08,1.43640032503943e-08,"HLA-DQA2/IGKC/HLA-B/FCGR3A/C1QA/C1QB/C1QC/SERPING1/HLA-DRB5/C2/FCGR1A/LILRB4/HLA-DPB1/C3/IL1B/CD4/ADAM17/TNF",18
"GO:0030593","GO:0030593","neutrophil chemotaxis","11/107","83/12100",1.45528706812583e-10,6.26258534983483e-08,4.82287240647315e-08,"CCL3/CCL4/CXCL8/CXCL2/CCL2/CCL20/S100A9/CXCL3/C3AR1/S100A8/IL1B",11
"GO:0016064","GO:0016064","immunoglobulin mediated immune response","13/107","135/12100",1.71788787818872e-10,6.3365521449761e-08,4.87983489007292e-08,"HLA-DQA2/IGKC/FCGR3A/C1QA/C1QB/C1QC/SERPING1/HLA-DRB5/C2/FCGR1A/HLA-DPB1/C3/TNF",13
"GO:0019724","GO:0019724","B cell mediated immunity","13/107","138/12100",2.26678303567042e-10,7.31604224762627e-08,5.63414888734397e-08,"HLA-DQA2/IGKC/FCGR3A/C1QA/C1QB/C1QC/SERPING1/HLA-DRB5/C2/FCGR1A/HLA-DPB1/C3/TNF",13
"GO:0071621","GO:0071621","granulocyte chemotaxis","11/107","102/12100",1.39762759688142e-09,3.59494093418878e-07,2.7684958313354e-07,"CCL3/CCL4/CXCL8/CXCL2/CCL2/CCL20/S100A9/CXCL3/C3AR1/S100A8/IL1B",11
"GO:1990266","GO:1990266","neutrophil migration","11/107","102/12100",1.39762759688142e-09,3.59494093418878e-07,2.7684958313354e-07,"CCL3/CCL4/CXCL8/CXCL2/CCL2/CCL20/S100A9/CXCL3/C3AR1/S100A8/IL1B",11
"GO:0002449","GO:0002449","lymphocyte mediated immunity","16/107","268/12100",1.53153951495262e-09,3.59494093418878e-07,2.7684958313354e-07,"HLA-DQA2/IGKC/HLA-B/FCGR3A/C1QA/C1QB/C1QC/SERPING1/HLA-DRB5/C2/FCGR1A/LILRB4/HLA-DPB1/C3/IL1B/TNF",16
"GO:0002250","GO:0002250","adaptive immune response","19/107","420/12100",4.04400322965128e-09,8.701346949133e-07,6.70098429895725e-07,"HLA-DQA2/IGKC/HLA-B/CTSL/FCGR3A/C1QA/C1QB/C1QC/SERPING1/HLA-DRB5/C2/FCGR1A/LILRB4/HLA-DPB1/C3/IL1B/CD4/ADAM17/TNF",19
"GO:0019221","GO:0019221","cytokine-mediated signaling pathway","18/107","386/12100",6.80184958576947e-09,1.3509519715736e-06,1.04038007024441e-06,"CCL3/CCL4/CXCL8/IFITM3/CXCL2/CCL2/CCL20/IFI27/ISG15/CXCL3/OAS1/LILRB4/IL1B/CD4/ADAM17/BIRC3/CD44/TNF",18
"GO:0042742","GO:0042742","defense response to bacterium","13/107","183/12100",7.41639500856795e-09,1.36779513658017e-06,1.05335114069059e-06,"IGKC/CCL20/ISG15/S100A9/FCGR1A/GRN/S100A8/OAS1/IL1B/CD4/STAB1/ADAM17/TNF",13
"GO:0097530","GO:0097530","granulocyte migration","11/107","124/12100",1.1293067078609e-08,1.9439132797979e-06,1.49702482185912e-06,"CCL3/CCL4/CXCL8/CXCL2/CCL2/CCL20/S100A9/CXCL3/C3AR1/S100A8/IL1B",11
